,Gross Area,Interior Area,Bedrooms,Baths,Floor,Type,Status,Price,City
0,96.78 m2,96.78 m2,2,2,5,Parking ,New ,"150,000",Tirana
1,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
2,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
3,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
4,182 m2,145 m2,1,1,1,Apartment ,Under Construction ,"50,000",Tirana
5,168 m2,72 m2,1,1,2,Apartment ,Under Construction ,"150,000",Himarë
6,39 m2,30 m2,2,1,1,Multipurpose space ,Used ,"26,000",Tirana
7,1104 m2,1104 m2,2,1,1,Land ,Used ,"170,000",Tirana
8,91 m2,38 m2,2,1,2,Apartment ,Under Construction ,"57,000",Himarë
9,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
10,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
11,76 m2,58 m2,1,2,5,Multipurpose space ,Used ,"26,000",Tirana
12,96.78 m2,96.78 m2,1,2,5,Parking ,New ,"170,000",Tirana
13,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
14,197 m2,157 m2,2,1,1,Apartment ,Under Construction ,"50,000",Tirana
15,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
16,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
17,168 m2,72 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
18,39 m2,30 m2,1,1,2,Multipurpose space ,Used ,"57,000",Tirana
19,1104 m2,1104 m2,1,1,2,Land ,Used ,"50,000",Tirana
20,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"150,000",Himarë
21,180 m2,84 m2,2,2,5,Apartment ,Under Construction ,"26,000",Himarë
22,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
23,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"57,000",Tirana
24,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"50,000",Tirana
25,86 m2,68 m2,1,1,2,Apartment ,Under Construction ,"150,000",Tirana
26,197 m2,157 m2,1,1,1,Apartment ,Under Construction ,"26,000",Tirana
27,178 m2,141 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
28,182 m2,145 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
29,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
30,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
31,1104 m2,1104 m2,2,2,5,Land ,Used ,"26,000",Tirana
32,91 m2,38 m2,1,2,5,Apartment ,Under Construction ,"170,000",Himarë
33,180 m2,84 m2,1,2,5,Apartment ,Under Construction ,"57,000",Himarë
34,85 m2,66 m2,2,1,1,Multipurpose space ,Used ,"50,000",Tirana
35,76 m2,58 m2,2,1,2,Multipurpose space ,Used ,"150,000",Tirana
36,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"26,000",Tirana
37,86 m2,68 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
38,197 m2,157 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
39,178 m2,141 m2,1,1,2,Apartment ,Under Construction ,"50,000",Tirana
40,182 m2,145 m2,1,2,5,Apartment ,Under Construction ,"150,000",Tirana
41,168 m2,72 m2,2,2,5,Apartment ,Under Construction ,"26,000",Himarë
42,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
43,1104 m2,1104 m2,2,2,5,Land ,Used ,"57,000",Tirana
44,91 m2,38 m2,2,1,1,Apartment ,Under Construction ,"50,000",Himarë
45,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"150,000",Himarë
46,85 m2,66 m2,1,1,1,Multipurpose space ,Used ,"26,000",Tirana
47,76 m2,58 m2,1,1,1,Multipurpose space ,Used ,"170,000",Tirana
48,96.78 m2,96.78 m2,2,1,2,Parking ,New ,"57,000",Tirana
49,86 m2,68 m2,2,1,2,Apartment ,Under Construction ,"50,000",Tirana
50,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"150,000",Tirana
51,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
52,182 m2,145 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
53,168 m2,72 m2,1,2,5,Apartment ,Under Construction ,"57,000",Himarë
54,39 m2,30 m2,1,1,1,Multipurpose space ,Used ,"50,000",Tirana
55,1104 m2,1104 m2,2,1,2,Land ,Used ,"150,000",Tirana
56,91 m2,38 m2,2,1,1,Apartment ,Under Construction ,"26,000",Himarë
57,180 m2,84 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
58,85 m2,66 m2,2,1,2,Multipurpose space ,Used ,"57,000",Tirana
59,76 m2,58 m2,2,1,2,Multipurpose space ,Used ,"50,000",Tirana
60,96.78 m2,96.78 m2,1,2,5,Parking ,New ,"150,000",Tirana
61,86 m2,68 m2,1,2,5,Apartment ,Under Construction ,"26,000",Tirana
62,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
63,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
64,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"50,000",Tirana
65,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"150,000",Himarë
66,39 m2,30 m2,2,1,1,Multipurpose space ,Used ,"26,000",Tirana
67,1104 m2,1104 m2,1,1,1,Land ,Used ,"170,000",Tirana
68,91 m2,38 m2,1,1,2,Apartment ,Under Construction ,"57,000",Himarë
69,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
70,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
71,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"26,000",Tirana
72,96.78 m2,96.78 m2,2,2,5,Parking ,New ,"170,000",Tirana
73,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
74,197 m2,157 m2,1,1,1,Apartment ,Under Construction ,"50,000",Tirana
75,178 m2,141 m2,1,1,2,Apartment ,Under Construction ,"150,000",Tirana
76,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
77,168 m2,72 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
78,39 m2,30 m2,2,1,2,Multipurpose space ,Used ,"57,000",Tirana
79,1104 m2,1104 m2,2,1,2,Land ,Used ,"50,000",Tirana
80,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"150,000",Himarë
81,180 m2,84 m2,1,2,5,Apartment ,Under Construction ,"26,000",Himarë
82,85 m2,66 m2,1,2,5,Multipurpose space ,Used ,"170,000",Tirana
83,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"57,000",Tirana
84,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"50,000",Tirana
85,86 m2,68 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
86,197 m2,157 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
87,178 m2,141 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
88,182 m2,145 m2,1,1,2,Apartment ,Under Construction ,"57,000",Tirana
89,168 m2,72 m2,1,1,2,Apartment ,Under Construction ,"50,000",Himarë
90,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
91,1104 m2,1104 m2,2,2,5,Land ,Used ,"26,000",Tirana
92,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"170,000",Himarë
93,180 m2,84 m2,2,2,5,Apartment ,Under Construction ,"57,000",Himarë
94,85 m2,66 m2,2,1,1,Multipurpose space ,Used ,"50,000",Tirana
95,76 m2,58 m2,1,1,2,Multipurpose space ,Used ,"150,000",Tirana
96,96.78 m2,96.78 m2,1,1,1,Parking ,New ,"26,000",Tirana
97,86 m2,68 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
98,197 m2,157 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
99,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"50,000",Tirana
100,182 m2,145 m2,2,2,5,Apartment ,Under Construction ,"150,000",Tirana
